id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kategori_anak,jenis_kelamin,jumlah_anak,satuan,tahun
77,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,ANAK YATIM PIATU,LAKI-LAKI,0,ORANG,2021
78,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,ANAK YATIM PIATU,PEREMPUAN,2,ORANG,2021
79,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,ANAK YATIM,PEREMPUAN,2,ORANG,2021
80,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,ANAK YATIM,LAKI-LAKI,2,ORANG,2021
81,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,ANAK PIATU,LAKI-LAKI,0,ORANG,2021
82,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,ANAK PIATU,PEREMPUAN,2,ORANG,2021
83,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,ANAK YATIM PIATU,LAKI-LAKI,2,ORANG,2021
84,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
85,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,ANAK YATIM,PEREMPUAN,0,ORANG,2021
86,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,ANAK YATIM,LAKI-LAKI,2,ORANG,2021
87,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,ANAK PIATU,LAKI-LAKI,2,ORANG,2021
88,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,ANAK PIATU,PEREMPUAN,5,ORANG,2021
89,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,ANAK YATIM PIATU,LAKI-LAKI,1,ORANG,2021
90,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,ANAK YATIM PIATU,PEREMPUAN,0,ORANG,2021
91,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,ANAK YATIM,PEREMPUAN,6,ORANG,2021
92,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,ANAK YATIM,LAKI-LAKI,4,ORANG,2021
93,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,ANAK PIATU,LAKI-LAKI,4,ORANG,2021
94,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,ANAK PIATU,PEREMPUAN,2,ORANG,2021
